underlying,run_id,track,dir,days,n_legs,pnl_parity,pnl_native
BTC,BTC-0035,opt_delta,1,13,1,-45020.600914051276,-45369.99404339128
BTC,BTC-0035,opt_budget,1,13,1,-41076.38231626536,-41395.16539253535
BTC,BTC-0036,opt_delta,-1,34,2,-118955.48655683105,-119280.83026207105
BTC,BTC-0036,opt_budget,-1,34,2,-75824.2593435487,-76110.59580157872
BTC,BTC-0037,opt_delta,1,2,1,-16603.349752574264,-17161.835137284263
BTC,BTC-0037,opt_budget,1,2,1,-27660.166027000472,-28590.568547010473
BTC,BTC-0038,opt_delta,-1,22,1,-56733.261727939316,-56733.261727939316
BTC,BTC-0038,opt_budget,-1,22,1,-48075.94099612838,-48075.94099612838
BTC,BTC-0039,opt_delta,1,32,2,188483.45412489824,187997.05916504824
BTC,BTC-0039,opt_budget,1,32,2,220610.33477579505,220137.94963271506
BTC,BTC-0040,opt_delta,1,1,0,0.0,0.0
BTC,BTC-0040,opt_budget,1,1,0,0.0,0.0
BTC,BTC-0041,opt_delta,1,17,1,-48976.32305856457,-49202.364017574575
BTC,BTC-0041,opt_budget,1,17,1,-46625.59559434547,-46840.787215835466
BTC,BTC-0042,opt_delta,-1,7,1,-27345.37977817504,-27637.29599332504
BTC,BTC-0042,opt_budget,-1,7,1,-23807.704128962585,-24061.855103172584
BTC,BTC-0043,opt_delta,1,37,2,25016.181741439992,24696.40338474999
BTC,BTC-0043,opt_budget,1,37,2,35962.054630590654,35647.09182187066
BTC,BTC-0044,opt_delta,1,5,1,-16323.909205006661,-16678.315181136662
BTC,BTC-0044,opt_budget,1,5,1,-16551.386771975165,-16910.731479145164
BTC,BTC-0045,opt_delta,1,1,0,0.0,0.0
BTC,BTC-0045,opt_budget,1,1,0,0.0,0.0
BTC,BTC-0046,opt_delta,1,4,1,-22430.189465635376,-22895.794393625376
BTC,BTC-0046,opt_budget,1,4,1,-31077.136496443112,-31722.234384943113
BTC,BTC-0047,opt_delta,-1,20,1,-31918.428523014656,-32225.674922234655
BTC,BTC-0047,opt_budget,-1,20,1,-33241.663804777774,-33561.64764900778
BTC,BTC-0048,opt_delta,-1,3,1,-7607.440531307167,-8073.959995377166
BTC,BTC-0048,opt_budget,-1,3,1,-9428.017464757073,-10006.18217149707
BTC,BTC-0049,opt_delta,-1,14,1,6871.311759008735,6543.407416868737
BTC,BTC-0049,opt_budget,-1,14,1,8506.535989922126,8100.597474612125
BTC,BTC-0050,opt_delta,-1,1,0,0.0,0.0
BTC,BTC-0050,opt_budget,-1,1,0,0.0,0.0
BTC,BTC-0051,opt_delta,1,29,1,-41145.60219777441,-41389.27924648441
BTC,BTC-0051,opt_budget,1,29,1,-28738.512584051925,-28908.710992641925
BTC,BTC-0052,opt_delta,1,3,1,-13615.824909447108,-13904.90405134711
BTC,BTC-0052,opt_budget,1,3,1,-21244.939827517046,-21695.993582507046
BTC,BTC-0053,opt_delta,-1,14,1,-15107.549358171467,-15365.626498801468
BTC,BTC-0053,opt_budget,-1,14,1,-16544.09933079786,-16826.716570137858
BTC,BTC-0054,opt_delta,-1,3,1,3784.702443081917,3288.148446341917
BTC,BTC-0054,opt_budget,-1,3,1,9823.658904391497,8534.7921726815
BTC,BTC-0055,opt_delta,-1,30,2,51879.61202720116,51311.14587754116
BTC,BTC-0055,opt_budget,-1,30,2,81977.41184566398,80711.04876941399
BTC,BTC-0056,opt_delta,-1,2,1,5919.1454252364565,5590.1931609264575
BTC,BTC-0056,opt_budget,-1,2,1,10412.666150103585,9833.989699943588
BTC,BTC-0057,opt_delta,1,1,0,0.0,0.0
BTC,BTC-0057,opt_budget,1,1,0,0.0,0.0
BTC,BTC-0058,opt_delta,-1,4,1,-15053.370756922684,-15400.769934202684
BTC,BTC-0058,opt_budget,-1,4,1,-19170.838831525147,-19613.260248385148
BTC,BTC-0059,opt_delta,1,11,1,-8275.46446773518,-8483.951614165182
BTC,BTC-0059,opt_budget,1,11,1,-10454.147101369226,-10717.52268959923
BTC,BTC-0060,opt_delta,1,89,3,177900.03276749654,177900.03276749654
BTC,BTC-0060,opt_budget,1,89,3,164866.5259859361,164866.5259859361
BTC,BTC-0061,opt_delta,-1,9,1,-20503.879476386297,-21081.3301902963
BTC,BTC-0061,opt_budget,-1,9,1,-31288.38935171034,-32169.56420621034
BTC,BTC-0062,opt_delta,1,60,3,468301.1067758933,467837.0365638333
BTC,BTC-0062,opt_budget,1,60,3,426114.3594131376,425892.3535856376
BTC,BTC-0063,opt_delta,1,10,1,-34913.33538676234,-35195.54009056234
BTC,BTC-0063,opt_budget,1,10,1,-25894.323190317125,-26103.627161647124
BTC,BTC-0064,opt_delta,-1,6,1,-40191.58547777185,-40552.95029576185
BTC,BTC-0064,opt_budget,-1,6,1,-28967.63777775093,-29228.08745672093
BTC,BTC-0065,opt_delta,-1,11,1,-8177.837026986724,-8433.593365476721
BTC,BTC-0065,opt_budget,-1,11,1,-4539.885083544508,-4681.866921854507
BTC,BTC-0066,opt_delta,-1,9,1,-26556.60704838173,-26937.22311646173
BTC,BTC-0066,opt_budget,-1,9,1,-25819.297187899003,-26189.345944229004
BTC,BTC-0067,opt_delta,1,25,2,-20082.113286144115,-20300.278422124116
BTC,BTC-0067,opt_budget,1,25,2,-17754.5575397745,-17946.5580754945
BTC,BTC-0068,opt_delta,1,1,0,0.0,0.0
BTC,BTC-0068,opt_budget,1,1,0,0.0,0.0
BTC,BTC-0069,opt_delta,-1,29,1,-8506.104076014259,-8833.03791035426
BTC,BTC-0069,opt_budget,-1,29,1,-7213.620239376349,-7490.877203546352
BTC,BTC-0070,opt_delta,1,14,1,-19427.906555456353,-19785.609639916354
BTC,BTC-0070,opt_budget,1,14,1,-20994.33148984403,-21380.87530923403
BTC,BTC-0071,opt_delta,-1,19,1,-60095.2390308075,-60452.6222520375
BTC,BTC-0071,opt_budget,-1,19,1,-47993.66791350415,-48279.08372771415
BTC,BTC-0072,opt_delta,1,3,1,-38996.14647827629,-39324.92718022629
BTC,BTC-0072,opt_budget,1,3,1,-34297.22625117049,-34586.38983773049
BTC,BTC-0073,opt_delta,-1,14,1,-26297.7964215569,-26731.418778206902
BTC,BTC-0073,opt_budget,-1,14,1,-26940.229094406972,-27384.444474586973
BTC,BTC-0074,opt_delta,-1,1,0,0.0,0.0
BTC,BTC-0074,opt_budget,-1,1,0,0.0,0.0
BTC,BTC-0075,opt_delta,1,15,1,-23257.124062457697,-23496.207545757694
BTC,BTC-0075,opt_budget,1,15,1,-17491.4893013151,-17671.302002525103
BTC,BTC-0076,opt_delta,1,6,1,-27138.95347708532,-27377.14379372532
BTC,BTC-0076,opt_budget,1,6,1,-18634.382389457933,-18797.93067298793
BTC,BTC-0077,opt_delta,1,70,3,479208.88204240776,479208.88204240776
BTC,BTC-0077,opt_budget,1,70,3,507009.5064664142,507009.5064664142
BTC,BTC-0078,opt_delta,1,1,0,0.0,0.0
BTC,BTC-0078,opt_budget,1,1,0,0.0,0.0
BTC,BTC-0079,opt_delta,1,2,1,-17644.098409742524,-17938.894230022524
BTC,BTC-0079,opt_budget,1,2,1,-12482.810780295618,-12691.372328245616
BTC,BTC-0080,opt_delta,-1,4,1,-14226.200775006064,-14554.405155896062
BTC,BTC-0080,opt_budget,-1,4,1,-10236.000891547144,-10472.149699377147
BTC,BTC-0081,opt_delta,1,3,1,-22972.202012458336,-23178.953321988338
BTC,BTC-0081,opt_budget,1,3,1,-16833.49566798594,-16984.998215415937
BTC,BTC-0082,opt_delta,-1,4,1,-6160.325925760674,-6627.178541170678
BTC,BTC-0082,opt_budget,-1,4,1,-7400.6302054038315,-7961.47774105383
BTC,BTC-0083,opt_delta,1,17,1,-41030.601371665,-41296.353209454996
BTC,BTC-0083,opt_budget,1,17,1,-36326.15519961379,-36561.436725633794
BTC,BTC-0084,opt_delta,-1,46,3,21800.35213710823,21352.96661210823
BTC,BTC-0084,opt_budget,-1,46,3,20885.998348523728,20168.437249583727
BTC,BTC-0085,opt_delta,-1,5,1,4634.987790015426,4255.901065175423
BTC,BTC-0085,opt_budget,-1,5,1,4553.505377432906,4181.082933372905
BTC,BTC-0086,opt_delta,-1,9,1,-16724.685407311834,-17082.720848971832
BTC,BTC-0086,opt_budget,-1,9,1,-18041.65090455568,-18427.87942462568
BTC,BTC-0087,opt_delta,1,56,2,128183.99458596045,127550.15905154045
BTC,BTC-0087,opt_budget,1,56,2,93619.6223897956,92761.00187707559
BTC,BTC-0088,opt_delta,1,2,1,-9100.684975586266,-9335.838819906263
BTC,BTC-0088,opt_budget,1,2,1,-7525.15534843417,-7719.598874144168
BTC,BTC-0089,opt_delta,-1,3,1,-19603.92281162545,-19997.34110338545
BTC,BTC-0089,opt_budget,-1,3,1,-20687.514375193306,-21102.678551993307
BTC,BTC-0090,opt_delta,1,36,2,23831.37284262052,23371.76067642052
BTC,BTC-0090,opt_budget,1,36,2,26841.836955974686,26331.71446297469
BTC,BTC-0091,opt_delta,1,12,1,-3530.666919390081,-3920.978037290082
BTC,BTC-0091,opt_budget,1,12,1,-6610.283034460415,-7341.042128390414
BTC,BTC-0092,opt_delta,-1,1,0,0.0,0.0
BTC,BTC-0092,opt_budget,-1,1,0,0.0,0.0
BTC,BTC-0093,opt_delta,-1,16,1,4337.877051254749,3854.417009584751
BTC,BTC-0093,opt_budget,-1,16,1,6799.616373346958,6041.793402756957
BTC,BTC-0094,opt_delta,-1,1,0,0.0,0.0
BTC,BTC-0094,opt_budget,-1,1,0,0.0,0.0
BTC,BTC-0095,opt_delta,1,9,0,0.0,0.0
BTC,BTC-0095,opt_budget,1,9,0,0.0,0.0
BTC,BTC-0096,opt_delta,-1,4,1,-21578.112871626952,-21902.68098368695
BTC,BTC-0096,opt_budget,-1,4,1,-31808.694789990466,-32287.146650480467
BTC,BTC-0097,opt_delta,1,9,1,-31518.636138943286,-31743.85821356329
BTC,BTC-0097,opt_budget,1,9,1,-35301.05035359261,-35553.30035996261
BTC,BTC-0098,opt_delta,-1,11,1,-29136.10781463063,-29510.861723920636
BTC,BTC-0098,opt_budget,-1,11,1,-34067.12038593301,-34505.29786077301
BTC,BTC-0099,opt_delta,-1,65,3,98254.67571760585,97991.17502142585
BTC,BTC-0099,opt_budget,-1,65,3,78085.0871325929,77589.5745867929
BTC,BTC-0100,opt_delta,1,15,1,-33696.297485487135,-33882.58969798713
BTC,BTC-0100,opt_budget,1,15,1,-48574.5089498235,-48843.0563487635
BTC,BTC-0101,opt_delta,-1,39,2,143500.35096274823,143177.39107700824
BTC,BTC-0101,opt_budget,-1,39,2,98052.1002738128,97653.1320400728
BTC,BTC-0102,opt_delta,-1,4,1,-19733.495008576327,-20069.79293831633
BTC,BTC-0102,opt_budget,-1,4,1,-17834.78117117278,-18138.721244082783
BTC,BTC-0103,opt_delta,1,3,1,-28240.53468645778,-28548.63960041778
BTC,BTC-0103,opt_budget,1,3,1,-24411.233279821932,-24677.56041675193
BTC,BTC-0104,opt_delta,-1,3,1,-29427.287635443852,-29746.404413573855
BTC,BTC-0104,opt_budget,-1,3,1,-22259.650345365153,-22501.039495245153
BTC,BTC-0105,opt_delta,-1,11,1,-23466.416030547054,-23858.985598687053
BTC,BTC-0105,opt_budget,-1,11,1,-23674.974734598352,-24071.033280018353
BTC,BTC-0106,opt_delta,-1,1,0,0.0,0.0
BTC,BTC-0106,opt_budget,-1,1,0,0.0,0.0
BTC,BTC-0107,opt_delta,1,38,2,14994.076553596002,14332.925557296003
BTC,BTC-0107,opt_budget,1,38,2,16395.834235658913,15267.123243708913
BTC,BTC-0108,opt_delta,-1,2,1,-9029.103930213107,-9403.081940423108
BTC,BTC-0108,opt_budget,-1,2,1,-10937.292413954696,-11390.306021934695
BTC,BTC-0109,opt_delta,-1,35,1,191153.69186698057,191153.69186698057
BTC,BTC-0109,opt_budget,-1,35,1,241200.4503461058,241200.4503461058
SOL_USDC,SOL_USDC-0074,opt_delta,1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0074,opt_budget,1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0075,opt_delta,-1,23,0,0.0,0.0
SOL_USDC,SOL_USDC-0075,opt_budget,-1,23,0,0.0,0.0
SOL_USDC,SOL_USDC-0076,opt_delta,-1,7,1,-56357.53379338119,-56695.79901832119
SOL_USDC,SOL_USDC-0076,opt_budget,-1,7,1,-27963.558078954007,-28131.398980194008
SOL_USDC,SOL_USDC-0077,opt_delta,1,23,0,0.0,0.0
SOL_USDC,SOL_USDC-0077,opt_budget,1,23,0,0.0,0.0
