underlying,run_id,dir,spot_pnl
SOL_USDC,SOL_USDC-0102,1,47124.25980562013
SOL_USDC,SOL_USDC-0103,-1,-4705.829083239112
SOL_USDC,SOL_USDC-0104,1,-12642.350467667915
SOL_USDC,SOL_USDC-0105,1,92161.5719506594
SOL_USDC,SOL_USDC-0106,-1,-27687.926331283303
SOL_USDC,SOL_USDC-0107,1,-27715.88778957392
SOL_USDC,SOL_USDC-0108,-1,161116.47531048887
SOL_USDC,SOL_USDC-0109,1,-10976.324967025292
SOL_USDC,SOL_USDC-0110,-1,144156.87501814985
SOL_USDC,SOL_USDC-0111,-1,-20893.112858960758
SOL_USDC,SOL_USDC-0112,-1,-22169.763901281185
SOL_USDC,SOL_USDC-0113,1,
SOL_USDC,SOL_USDC-0114,-1,13265.913087136081
SOL_USDC,SOL_USDC-0115,-1,
SOL_USDC,SOL_USDC-0116,1,-29593.14685131651
SOL_USDC,SOL_USDC-0117,-1,-17816.09087746532
SOL_USDC,SOL_USDC-0118,-1,15318.611707056958
SOL_USDC,SOL_USDC-0119,-1,
SOL_USDC,SOL_USDC-0120,1,-10639.0272004076
SOL_USDC,SOL_USDC-0121,-1,-21910.37573084247
SOL_USDC,SOL_USDC-0122,1,-10472.386000054386
SOL_USDC,SOL_USDC-0123,-1,75307.05626220902
SOL_USDC,SOL_USDC-0124,-1,-3771.9285326234335
SOL_USDC,SOL_USDC-0125,-1,-8177.179033606891
SOL_USDC,SOL_USDC-0126,-1,
