underlying,run_id,track,dir,spot_pnl,mode_a_pnl,mode_a_legs,mode_b_pnl,mode_b_coverage_skip,mode_a_skip_reason
BTC,BTC-0032,opt_delta,-1,2631.533888869036,-36956.118792519555,1,-37215.881203932506,False,
BTC,BTC-0032,opt_budget,-1,2631.533888869036,-18551.66573409179,1,-18682.064314469506,False,
BTC,BTC-0033,opt_delta,-1,-4066.303956549977,-52593.24482729074,1,-57018.6138844617,False,
BTC,BTC-0033,opt_budget,-1,-4066.303956549977,-37108.12800929899,1,-40230.52827194029,False,
BTC,BTC-0034,opt_delta,-1,-18547.155912563816,-45699.792102338564,1,-49383.1375230892,False,
BTC,BTC-0034,opt_budget,-1,-18547.155912563816,-36755.97799361951,1,-39718.46331357092,False,
BTC,BTC-0035,opt_delta,1,-44073.410177270765,-44627.528792186116,1,-45653.266150748306,False,
BTC,BTC-0035,opt_budget,1,-44073.410177270765,-40964.619264147455,1,-41906.166813288684,False,
BTC,BTC-0036,opt_delta,-1,-7205.148608468808,-117900.95205922375,2,-118402.52963681557,False,
BTC,BTC-0036,opt_budget,-1,-7205.148608468808,-75524.6619937454,2,-75968.77913292596,False,
BTC,BTC-0037,opt_delta,1,-21921.33490707876,-16336.004474861726,1,-13812.237463244772,False,
BTC,BTC-0037,opt_budget,1,-21921.33490707876,-27379.788800171573,1,-23149.855595559293,False,
BTC,BTC-0038,opt_delta,-1,-5718.356700009115,-56377.67671407235,1,-56377.67671407236,False,
BTC,BTC-0038,opt_budget,-1,-5718.356700009115,-48064.27540923246,1,-48064.275409232454,False,
BTC,BTC-0039,opt_delta,1,119033.34323166328,189084.43874854036,2,0.0,True,
BTC,BTC-0039,opt_budget,1,119033.34323166328,222577.6788680162,2,0.0,True,
BTC,BTC-0040,opt_delta,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0040,opt_budget,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0041,opt_delta,1,-41622.35024404918,-48636.3806161969,1,-49524.7581475498,False,
BTC,BTC-0041,opt_budget,1,-41622.35024404918,-46582.69900752416,1,-47433.56460697378,False,
BTC,BTC-0042,opt_delta,-1,-46341.19628824196,-26811.83187781201,1,-25512.998048970097,False,
BTC,BTC-0042,opt_budget,-1,-46341.19628824196,-23484.71146798191,1,-22347.051875969883,False,
BTC,BTC-0043,opt_delta,1,43216.73509387861,25681.97098868066,2,23932.356349035013,False,
BTC,BTC-0043,opt_budget,1,43216.73509387861,36889.03330743614,2,35155.31795601343,False,
BTC,BTC-0044,opt_delta,1,-24679.91038445332,-15820.780467473558,1,-19114.02066721543,False,
BTC,BTC-0044,opt_budget,1,-24679.91038445332,-16138.505146024074,1,-19497.882644491758,False,
BTC,BTC-0045,opt_delta,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0045,opt_budget,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0046,opt_delta,1,-32228.124761957937,-22125.362896337338,1,-21518.25587822747,False,
BTC,BTC-0046,opt_budget,1,-32228.124761957937,-30840.65832270634,1,-29994.40869513783,False,
BTC,BTC-0047,opt_delta,-1,-3228.085948572645,-31527.85687452908,1,-36150.60529112081,False,
BTC,BTC-0047,opt_budget,-1,-3228.085948572645,-33033.978827691906,1,-37877.56124837995,False,
BTC,BTC-0048,opt_delta,-1,-5712.889309929061,-7159.242777305376,1,-7992.1897508989505,False,
BTC,BTC-0048,opt_budget,-1,-5712.889309929061,-8926.353598194586,1,-9964.896282961705,False,
BTC,BTC-0049,opt_delta,-1,-12674.869805478529,7408.638902944651,1,4391.636869323695,False,
BTC,BTC-0049,opt_budget,-1,-12674.869805478529,9227.343799172697,1,5469.714986144863,False,
BTC,BTC-0050,opt_delta,-1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0050,opt_budget,-1,,0.0,0,0.0,False,insufficient_dates
