underlying,run_id,track,dir,days,n_legs,pnl_parity,pnl_native
BTC,BTC-0000,opt_delta,1,70,3,534684.4732224973,534144.3224786273
BTC,BTC-0000,opt_budget,1,70,3,290688.61838292016,290502.6561743702
BTC,BTC-0001,opt_delta,1,1,0,0.0,0.0
BTC,BTC-0001,opt_budget,1,1,0,0.0,0.0
BTC,BTC-0002,opt_delta,1,1,0,0.0,0.0
BTC,BTC-0002,opt_budget,1,1,0,0.0,0.0
BTC,BTC-0003,opt_delta,1,30,2,140522.305139274,140148.64129053397
BTC,BTC-0003,opt_budget,1,30,2,59710.304773398864,59586.538529558864
BTC,BTC-0004,opt_delta,1,24,1,-52579.51854135696,-52840.21443858696
BTC,BTC-0004,opt_budget,1,24,1,-23817.271137447642,-23935.36017295764
BTC,BTC-0005,opt_delta,1,22,1,-39878.38101216387,-40252.387466483866
BTC,BTC-0005,opt_budget,1,22,1,-25906.684170597262,-26149.65459001726
BTC,BTC-0006,opt_delta,-1,8,1,-67230.52872087694,-67653.87880389694
BTC,BTC-0006,opt_budget,-1,8,1,-35343.47740035185,-35566.03498251185
BTC,BTC-0007,opt_delta,-1,1,0,0.0,0.0
BTC,BTC-0007,opt_budget,-1,1,0,0.0,0.0
BTC,BTC-0008,opt_delta,1,4,1,-11256.912645468381,-11595.55366198838
BTC,BTC-0008,opt_budget,1,4,1,-9686.403042320442,-9977.79851652044
BTC,BTC-0009,opt_delta,-1,32,2,144234.3677400467,143916.8158980367
BTC,BTC-0009,opt_budget,-1,32,2,72041.63541959942,71792.27761222942
BTC,BTC-0010,opt_delta,-1,38,2,13401.139062616669,13108.174084366678
BTC,BTC-0010,opt_budget,-1,38,2,4136.167167772965,3933.029268552964
BTC,BTC-0011,opt_delta,1,43,2,137764.41387263726,137419.33971715727
BTC,BTC-0011,opt_budget,1,43,2,102970.5689547905,102803.58415697051
BTC,BTC-0012,opt_delta,1,1,0,0.0,0.0
BTC,BTC-0012,opt_budget,1,1,0,0.0,0.0
BTC,BTC-0013,opt_delta,1,6,1,-49221.4040136228,-49508.2004066028
BTC,BTC-0013,opt_budget,1,6,1,-36599.45670224357,-36812.70929736357
BTC,BTC-0014,opt_delta,-1,10,1,-82175.17215330408,-82574.39740594408
BTC,BTC-0014,opt_budget,-1,10,1,-36934.83154061932,-37114.269164169316
BTC,BTC-0015,opt_delta,1,43,2,88143.45521073257,87785.12443130258
BTC,BTC-0015,opt_budget,1,43,2,67950.30072237836,67773.93562052835
BTC,BTC-0016,opt_delta,-1,34,1,28540.788055897057,28188.17633930705
BTC,BTC-0016,opt_budget,-1,34,1,14214.44993490021,14038.835246040213
BTC,BTC-0017,opt_delta,-1,2,1,133.0723789672175,-201.55983850278602
BTC,BTC-0017,opt_budget,-1,2,1,73.84844808011024,-111.85552137989231
BTC,BTC-0018,opt_delta,-1,39,2,94446.5656588144,94081.2371149044
BTC,BTC-0018,opt_budget,-1,39,2,48466.4562517528,48145.5705552528
BTC,BTC-0019,opt_delta,1,9,1,-44877.819615885346,-45195.02398843534
BTC,BTC-0019,opt_budget,1,9,1,-43233.2389289013,-43538.819113011305
BTC,BTC-0020,opt_delta,-1,8,1,-49432.23048748803,-49948.46579110803
BTC,BTC-0020,opt_budget,-1,8,1,-32841.16165277545,-33184.13155498545
BTC,BTC-0021,opt_delta,1,2,1,-42807.51031102276,-43067.632709852754
BTC,BTC-0021,opt_budget,1,2,1,-32850.88818010216,-33050.50856568217
BTC,BTC-0022,opt_delta,-1,3,0,0.0,0.0
BTC,BTC-0022,opt_budget,-1,3,0,0.0,0.0
BTC,BTC-0023,opt_delta,-1,6,1,-32750.07950169269,-33044.28894013269
BTC,BTC-0023,opt_budget,-1,6,1,-19724.7436842287,-19901.940380538697
BTC,BTC-0024,opt_delta,1,19,1,-10188.18639433356,-10482.970657533555
BTC,BTC-0024,opt_budget,1,19,1,-6088.135269831356,-6264.288940771358
BTC,BTC-0025,opt_delta,-1,9,1,-13010.957929819473,-13344.899465269475
BTC,BTC-0025,opt_budget,-1,9,1,-12007.320917609713,-12315.502931939713
BTC,BTC-0026,opt_delta,-1,39,2,221053.59672548837,220936.20356804837
BTC,BTC-0026,opt_budget,-1,39,2,236943.34868222117,236836.6987275112
BTC,BTC-0027,opt_delta,-1,5,1,-35082.030746059834,-35393.639392239835
BTC,BTC-0027,opt_budget,-1,5,1,-24997.11179468172,-25219.14330327172
BTC,BTC-0028,opt_delta,-1,41,2,340339.8008203958,340043.5151593058
BTC,BTC-0028,opt_budget,-1,41,2,280866.3677972649,280610.2235896149
BTC,BTC-0029,opt_delta,1,5,1,-35081.418691302075,-35380.99272561207
BTC,BTC-0029,opt_budget,1,5,1,-22345.181251280923,-22535.995545460923
BTC,BTC-0030,opt_delta,-1,1,0,0.0,0.0
BTC,BTC-0030,opt_budget,-1,1,0,0.0,0.0
BTC,BTC-0031,opt_delta,1,22,1,-65683.18370809079,-65862.65905898077
BTC,BTC-0031,opt_budget,1,22,1,-49179.80867530089,-49314.18954742089
BTC,BTC-0032,opt_delta,-1,20,1,-36956.11876621059,-37301.09976341059
BTC,BTC-0032,opt_budget,-1,20,1,-18551.665718941436,-18724.843322051438
BTC,BTC-0033,opt_delta,-1,21,1,-52593.24481318645,-52929.32366979645
