entry_date,expiry,strike,contracts,entry_premium_usd,fee_usd,final_pnl_usd,index_at_entry,index_at_exit
2020-04-01 00:00:00+00:00,2020-04-24 08:00:00+00:00,6500.0,51.58996399794363,63775.250000000015,200.0,11563.280096553142,6461.205,7508.18
2020-05-01 00:00:00+00:00,2020-05-29 08:00:00+00:00,9000.0,38.206145076374085,59302.700000000004,200.0,42744.8767775868,8724.6,9427.62
2020-12-01 00:00:00+00:00,2020-12-25 08:00:00+00:00,19000.0,16.965112687792136,58805.75000000001,200.0,-38018.71001106634,19648.165,24695.48
2021-01-01 00:00:00+00:00,2021-01-29 08:00:00+00:00,32000.0,11.616597678597204,78352.45000000001,200.0,50641.460591436866,28694.575,34334.92
2021-02-01 00:00:00+00:00,2021-02-26 08:00:00+00:00,38000.0,10.012048499163894,81168.5,200.0,-2444.4792869188823,33293.22,46331.26
2021-03-01 00:00:00+00:00,2021-03-26 08:00:00+00:00,50000.0,7.049892476802417,62218.13999999999,199.99999999999997,26272.06980897612,47282.045,55070.44
2021-04-01 00:00:00+00:00,2021-04-23 08:00:00+00:00,58000.0,5.671694368498094,44659.24,199.99999999999997,5800.171907846743,58771.384999999995,51183.86
2021-06-01 00:00:00+00:00,2021-06-25 08:00:00+00:00,40000.0,8.929448826645869,69573.00000000001,200.0,-5609.0105091576115,37329.665,31602.84
2021-07-01 00:00:00+00:00,2021-07-30 08:00:00+00:00,35000.0,9.596479550669796,73714.25,200.0,4269.604259800501,34734.96,42215.63
2021-08-01 00:00:00+00:00,2021-08-27 08:00:00+00:00,38000.0,8.020937856179774,60462.25,200.00000000000003,-28533.46232745961,41557.899999999994,49070.49
2021-09-01 00:00:00+00:00,2021-09-24 08:00:00+00:00,50000.0,7.0855585086982495,58971.399999999994,200.0,8044.115246474619,47044.045,42840.75
2021-10-01 00:00:00+00:00,2021-10-22 08:00:00+00:00,48000.0,7.3218443345142745,39259.049999999996,199.99999999999997,-53856.17966319298,45525.869999999995,60690.14
2021-11-01 00:00:00+00:00,2021-11-26 08:00:00+00:00,62000.0,5.451137651064993,54995.80000000001,200.0,9971.20411433879,61149.315,53777.02
2021-12-01 00:00:00+00:00,2021-12-31 08:00:00+00:00,54000.0,5.816490086752368,63278.3,199.99999999999997,17730.151368435618,57308.33,46203.52
2022-07-01 00:00:00+00:00,2022-07-29 08:00:00+00:00,19000.0,16.828009413925024,63609.59999999999,199.99999999999997,-16810.53055674545,19808.245000000003,23767.06
2024-01-01 00:00:00+00:00,2024-01-26 08:00:00+00:00,43000.0,7.835745841941881,44062.90000000001,200.0,34535.89801641941,42540.09,41814.3
2024-03-01 00:00:00+00:00,2024-03-22 08:00:00+00:00,63000.0,5.457929569348617,45222.450000000004,200.0,38260.98387195401,61073.22,63817.26
2024-04-01 00:00:00+00:00,2024-04-26 08:00:00+00:00,66000.0,4.742581115151079,50026.299999999996,200.0,39107.74509681894,70285.215,63748.7
2024-05-01 00:00:00+00:00,2024-05-31 08:00:00+00:00,63000.0,5.536527433521116,47707.20000000001,200.0,22695.9166278466,60206.21,67481.38
2024-11-01 00:00:00+00:00,2024-11-29 08:00:00+00:00,69000.0,4.7702820586686485,39259.05,199.99999999999997,-96958.14896574557,69877.07,97513.45
2024-12-01 00:00:00+00:00,2024-12-27 08:00:00+00:00,96000.0,3.4617092636049542,36443.0,200.0,29224.12509133202,96291.54500000001,94148.57
2025-01-01 00:00:00+00:00,2025-01-31 08:00:00+00:00,98000.0,3.523670379100068,42572.05,200.0,26858.205400128103,94598.33,102402.19
2025-12-01 00:00:00+00:00,2025-12-19 08:00:00+00:00,93000.0,3.670966230799998,29320.05,199.99999999999997,11161.843863188486,90802.61499999999,88108.06
2026-03-01 00:00:00+00:00,2026-03-27 08:00:00+00:00,68000.0,4.9923969538690285,38596.450000000004,200.0,29937.4054309313,66768.195,66365.5
2026-04-01 00:00:00+00:00,2026-04-24 08:00:00+00:00,67000.0,4.897677837069883,34786.5,199.99999999999997,-16574.00598791315,68059.465,77445.87
