start,end,dir,days
2025-06-02 16:00:00,2025-06-11 16:00:00,-1.0,9
2025-06-12 16:00:00,2025-06-29 16:00:00,-1.0,17
2025-07-01 16:00:00,2025-07-02 16:00:00,-1.0,1
2025-07-04 16:00:00,2025-07-06 16:00:00,-1.0,2
2025-07-06 16:00:00,2025-08-01 16:00:00,1.0,26
2025-08-06 16:00:00,2025-08-08 16:00:00,-1.0,2
2025-08-08 16:00:00,2025-08-19 16:00:00,1.0,11
2025-08-20 16:00:00,2025-09-23 16:00:00,1.0,34
2025-09-27 16:00:00,2025-10-01 16:00:00,-1.0,4
2025-10-02 16:00:00,2025-10-09 16:00:00,1.0,7
2025-10-11 16:00:00,2026-01-03 16:00:00,-1.0,84
2026-01-06 16:00:00,2026-01-19 16:00:00,1.0,13
2026-01-22 16:00:00,2026-03-04 16:00:00,-1.0,41
2026-03-05 16:00:00,2026-03-13 16:00:00,-1.0,8
2026-03-14 16:00:00,2026-03-16 16:00:00,-1.0,2
2026-03-18 16:00:00,2026-03-19 16:00:00,1.0,1
2026-03-19 16:00:00,2026-03-21 16:00:00,-1.0,2
2026-03-22 16:00:00,2026-03-23 16:00:00,-1.0,1
2026-03-24 16:00:00,2026-03-26 16:00:00,1.0,2
2026-03-27 16:00:00,2026-04-11 16:00:00,-1.0,15
2026-04-12 16:00:00,2026-04-14 16:00:00,-1.0,2
2026-04-15 16:00:00,2026-04-16 16:00:00,-1.0,1
2026-04-17 16:00:00,2026-04-27 16:00:00,1.0,10
2026-04-29 16:00:00,2026-05-05 16:00:00,-1.0,6
2026-05-06 16:00:00,2026-05-16 16:00:00,1.0,10
2026-05-20 16:00:00,2026-06-15 16:00:00,-1.0,26
2026-06-16 16:00:00,2026-06-21 16:00:00,-1.0,5
2026-06-22 16:00:00,2026-06-27 16:00:00,-1.0,5
2026-06-28 16:00:00,2026-06-29 16:00:00,-1.0,1
