entry_date,expiry,strike,contracts,entry_premium_usd,fee_usd,final_pnl_usd,index_at_entry,index_at_exit
2020-04-01 00:00:00+00:00,2020-04-24 08:00:00+00:00,6500.0,154.76989199383087,191332.7943407679,599.9999999999999,34696.88463042729,6461.205,7508.18
2020-05-01 00:00:00+00:00,2020-05-29 08:00:00+00:00,9000.0,114.61843522912224,177914.65032206473,599.9999999999999,128241.18065482512,8724.6,9427.62
2020-12-01 00:00:00+00:00,2020-12-25 08:00:00+00:00,19000.0,50.89533806337641,176423.74543109772,600.0,-114049.63460210132,19648.165,24695.48
2021-01-01 00:00:00+00:00,2021-01-29 08:00:00+00:00,32000.0,34.84979303579161,235066.00447580058,600.0000000000001,151933.03625011112,28694.575,34334.92
2021-02-01 00:00:00+00:00,2021-02-26 08:00:00+00:00,38000.0,30.03614549749168,243514.4655246137,600.0,-7324.472336142906,33293.22,46331.26
2021-03-01 00:00:00+00:00,2021-03-26 08:00:00+00:00,50000.0,21.14967743040725,186661.29234907124,599.9999999999999,78823.08177599963,47282.045,55070.44
2021-04-01 00:00:00+00:00,2021-04-23 08:00:00+00:00,58000.0,17.01508310549428,133982.65286823642,599.9999999999999,17405.448591776658,58771.384999999995,51183.86
2021-06-01 00:00:00+00:00,2021-06-25 08:00:00+00:00,40000.0,26.788346479937605,208726.6847353832,600.0,-16819.346792089666,37329.665,31602.84
2021-07-01 00:00:00+00:00,2021-07-30 08:00:00+00:00,35000.0,28.78943865200939,221150.8921601084,600.0,12816.954939509887,34734.96,42215.63
2021-08-01 00:00:00+00:00,2021-08-27 08:00:00+00:00,38000.0,24.06281356853932,181393.42840098776,600.0,-85593.70858139102,41557.899999999994,49070.49
2021-09-01 00:00:00+00:00,2021-09-24 08:00:00+00:00,50000.0,21.25667552609475,176920.7137280867,600.0,24138.85946751057,47044.045,42840.75
2021-10-01 00:00:00+00:00,2021-10-22 08:00:00+00:00,48000.0,21.965533003542824,117781.48638639481,600.0,-161564.2026031841,45525.869999999995,60690.14
2021-11-01 00:00:00+00:00,2021-11-26 08:00:00+00:00,62000.0,16.35341295319498,164993.47460035054,600.0,29919.68694336689,61149.315,53777.02
2021-12-01 00:00:00+00:00,2021-12-31 08:00:00+00:00,54000.0,17.449470260257105,189841.88944980092,600.0,53197.44355510775,57308.33,46203.52
2022-07-01 00:00:00+00:00,2022-07-29 08:00:00+00:00,19000.0,50.48402824177507,190835.8260437789,599.9999999999999,-50424.56562645742,19808.245000000003,23767.06
2024-01-01 00:00:00+00:00,2024-01-26 08:00:00+00:00,43000.0,23.50723752582564,132193.56699907602,600.0,103612.56104833422,42540.09,41814.3
2024-03-01 00:00:00+00:00,2024-03-22 08:00:00+00:00,63000.0,16.37378870804585,135672.34507799908,600.0,114787.9466938611,61073.22,63817.26
2024-04-01 00:00:00+00:00,2024-04-26 08:00:00+00:00,66000.0,14.227743345453238,150084.42569068028,600.0,117328.7609811371,70285.215,63748.7
2024-05-01 00:00:00+00:00,2024-05-31 08:00:00+00:00,63000.0,16.60958230056335,143126.86953283424,600.0000000000001,68093.01941637401,60206.21,67481.38
2024-11-01 00:00:00+00:00,2024-11-29 08:00:00+00:00,69000.0,14.310846176005947,117781.4863863948,600.0,-290870.11051084194,69877.07,97513.45
2024-12-01 00:00:00+00:00,2024-12-27 08:00:00+00:00,96000.0,10.385127790814863,109333.02533758168,600.0,87676.40061157773,96291.54500000001,94148.57
2025-01-01 00:00:00+00:00,2025-01-31 08:00:00+00:00,98000.0,10.571011137300204,127720.85232617494,600.0,80579.31852655923,94598.33,102402.19
2025-12-01 00:00:00+00:00,2025-12-19 08:00:00+00:00,93000.0,11.012898692399993,87963.38856705432,599.9999999999999,33488.77015661979,90802.61499999999,88108.06
2026-03-01 00:00:00+00:00,2026-03-27 08:00:00+00:00,68000.0,14.977190861607086,115793.61319843878,600.0,89816.47949123266,66768.195,66365.5
2026-04-01 00:00:00+00:00,2026-04-24 08:00:00+00:00,67000.0,14.693033511209647,104363.34236769158,599.9999999999999,-49718.17559604785,68059.465,77445.87
