date,equity
2020-01-01 00:00:00+00:00,1002035.0943229602
2020-01-02 00:00:00+00:00,999317.2986909542
2020-01-03 00:00:00+00:00,1005375.8232087145
2020-01-04 00:00:00+00:00,1007204.9385671336
2020-01-05 00:00:00+00:00,1008609.2043641016
2020-01-06 00:00:00+00:00,1007800.2479939086
2020-01-07 00:00:00+00:00,998183.5056274595
2020-01-08 00:00:00+00:00,996498.4020196483
2020-01-09 00:00:00+00:00,1005202.6674107506
2020-01-10 00:00:00+00:00,1001142.8646309923
2020-01-11 00:00:00+00:00,1006543.4281029266
2020-01-12 00:00:00+00:00,1001612.5119958889
2020-01-13 00:00:00+00:00,1003746.0867485831
2020-01-14 00:00:00+00:00,981318.943353285
2020-01-15 00:00:00+00:00,981491.0561678023
2020-01-16 00:00:00+00:00,986323.1798060841
2020-01-17 00:00:00+00:00,980017.5009375819
2020-01-18 00:00:00+00:00,980071.0795195436
2020-01-19 00:00:00+00:00,989149.4462764452
2020-01-20 00:00:00+00:00,993194.2711147504
2020-01-21 00:00:00+00:00,989777.5857626612
2020-01-22 00:00:00+00:00,993042.4878505102
2020-01-23 00:00:00+00:00,1004818.7934967536
2020-01-24 00:00:00+00:00,1004048.044522986
2020-01-25 00:00:00+00:00,1008831.5161310644
2020-01-26 00:00:00+00:00,997344.2479372625
2020-01-27 00:00:00+00:00,983317.3348423822
2020-01-28 00:00:00+00:00,960876.5455330295
2020-01-29 00:00:00+00:00,965559.3425185471
2020-01-30 00:00:00+00:00,955369.8873024669
2020-01-31 00:00:00+00:00,963358.2083623109
2020-02-01 00:00:00+00:00,961791.1931302736
2020-02-02 00:00:00+00:00,963039.2846339348
2020-02-03 00:00:00+00:00,963674.297918632
2020-02-04 00:00:00+00:00,965914.7193801308
2020-02-05 00:00:00+00:00,961166.1883860563
2020-02-06 00:00:00+00:00,958271.7774439431
2020-02-07 00:00:00+00:00,958744.340728643
2020-02-08 00:00:00+00:00,958159.1742887802
2020-02-09 00:00:00+00:00,952480.3001122201
2020-02-10 00:00:00+00:00,960974.6653240332
2020-02-11 00:00:00+00:00,951157.2712818446
2020-02-12 00:00:00+00:00,948101.7144451905
2020-02-13 00:00:00+00:00,951896.4849743921
2020-02-14 00:00:00+00:00,949050.7204506332
2020-02-15 00:00:00+00:00,961924.7753074955
2020-02-16 00:00:00+00:00,962138.3354891167
2020-02-17 00:00:00+00:00,968142.010394273
2020-02-18 00:00:00+00:00,957232.3552402549
2020-02-19 00:00:00+00:00,971322.8360353629
2020-02-20 00:00:00+00:00,972638.0391547948
2020-02-21 00:00:00+00:00,973289.4342504267
2020-02-22 00:00:00+00:00,975631.3997389218
2020-02-23 00:00:00+00:00,966844.3050613201
2020-02-24 00:00:00+00:00,977027.3667670735
2020-02-25 00:00:00+00:00,986288.9563527326
2020-02-26 00:00:00+00:00,988929.6024728958
2020-02-27 00:00:00+00:00,991768.5515964064
2020-02-28 00:00:00+00:00,991955.1248763435
2020-03-01 00:00:00+00:00,986898.3129911063
2020-03-02 00:00:00+00:00,989273.3006887003
2020-03-03 00:00:00+00:00,991311.166412432
2020-03-04 00:00:00+00:00,992732.6669802973
2020-03-05 00:00:00+00:00,994893.9260520315
2020-03-06 00:00:00+00:00,996202.8143750287
2020-03-07 00:00:00+00:00,997737.7535334778
2020-03-08 00:00:00+00:00,985211.8266815516
2020-03-09 00:00:00+00:00,980192.2033133942
2020-03-10 00:00:00+00:00,979956.5216201671
2020-03-11 00:00:00+00:00,982100.2904805134
2020-03-12 00:00:00+00:00,870042.0134354087
