date,equity
2020-04-01 00:00:00+00:00,1000506.5280097413
2020-04-02 00:00:00+00:00,1001543.2329849624
2020-04-03 00:00:00+00:00,1000187.1655736333
2020-04-04 00:00:00+00:00,1006039.5774192618
2020-04-05 00:00:00+00:00,1009091.7575393338
2020-04-06 00:00:00+00:00,999237.070286364
2020-04-07 00:00:00+00:00,1003450.5719434579
2020-04-08 00:00:00+00:00,999487.5780749432
2020-04-09 00:00:00+00:00,1005117.9758463432
2020-04-10 00:00:00+00:00,1018228.0376125169
2020-04-11 00:00:00+00:00,1022286.318152321
2020-04-12 00:00:00+00:00,1022994.8577015433
2020-04-13 00:00:00+00:00,1022560.4584505921
2020-04-14 00:00:00+00:00,1024236.664430918
2020-04-15 00:00:00+00:00,1030476.1994024111
2020-04-16 00:00:00+00:00,1023849.507959206
2020-04-17 00:00:00+00:00,1028938.4092335949
2020-04-18 00:00:00+00:00,1021578.8822789572
2020-04-19 00:00:00+00:00,1027719.794038969
2020-04-20 00:00:00+00:00,1037707.7404415983
2020-04-21 00:00:00+00:00,1039559.6604362081
2020-04-22 00:00:00+00:00,1030371.4956892186
2020-04-23 00:00:00+00:00,1012518.7482203558
2020-04-24 00:00:00+00:00,1011563.2800965531
2020-05-01 00:00:00+00:00,1012127.6876464403
2020-05-02 00:00:00+00:00,1015225.7989382624
2020-05-03 00:00:00+00:00,1017762.9368309042
2020-05-04 00:00:00+00:00,1015325.544548633
2020-05-05 00:00:00+00:00,1017939.1842124417
2020-05-06 00:00:00+00:00,1015316.9299468979
2020-05-07 00:00:00+00:00,1005210.239181748
2020-05-08 00:00:00+00:00,1009120.7885906273
2020-05-09 00:00:00+00:00,1015110.7051726655
2020-05-10 00:00:00+00:00,1009224.5462832773
2020-05-11 00:00:00+00:00,1010198.1768715999
2020-05-12 00:00:00+00:00,1023393.6573271623
2020-05-13 00:00:00+00:00,1023214.9948062405
2020-05-14 00:00:00+00:00,1016421.588058863
2020-05-15 00:00:00+00:00,1022025.9308492946
2020-05-16 00:00:00+00:00,1026690.8336296035
2020-05-17 00:00:00+00:00,1025673.3755461231
2020-05-18 00:00:00+00:00,1023155.4480031515
2020-05-19 00:00:00+00:00,1025265.0596787983
2020-05-20 00:00:00+00:00,1031453.7184085125
2020-05-21 00:00:00+00:00,1039916.9436216992
