date,equity
2020-01-01 00:00:00+00:00,1006110.607392682
2020-01-02 00:00:00+00:00,997957.2204966638
2020-01-03 00:00:00+00:00,1016132.7940499447
2020-01-04 00:00:00+00:00,1021620.1401252021
2020-01-05 00:00:00+00:00,1025832.937516106
2020-01-06 00:00:00+00:00,1023406.0684055268
2020-01-07 00:00:00+00:00,994555.8413061798
2020-01-08 00:00:00+00:00,989500.5304827462
2020-01-09 00:00:00+00:00,1015613.3266560533
2020-01-10 00:00:00+00:00,1003433.9183167779
2020-01-11 00:00:00+00:00,1019635.6087325811
2020-01-12 00:00:00+00:00,1004842.8604114677
2020-01-13 00:00:00+00:00,1011243.5846695506
2020-01-14 00:00:00+00:00,943962.1544836562
2020-01-15 00:00:00+00:00,944478.4929272081
2020-01-16 00:00:00+00:00,958974.8638420538
2020-01-17 00:00:00+00:00,940057.8272365468
2020-01-18 00:00:00+00:00,940218.5629824318
2020-01-19 00:00:00+00:00,967453.6632531366
2020-01-20 00:00:00+00:00,979588.1377680524
2020-01-21 00:00:00+00:00,969338.0817117846
2020-01-22 00:00:00+00:00,979132.7879753318
2020-01-23 00:00:00+00:00,1014461.7049140619
2020-01-24 00:00:00+00:00,1012149.4579927594
2020-01-25 00:00:00+00:00,1026499.8728169942
2020-01-26 00:00:00+00:00,992038.068235589
2020-01-27 00:00:00+00:00,949957.3289509478
2020-01-28 00:00:00+00:00,882634.9610228897
2020-01-29 00:00:00+00:00,896683.3519794426
2020-01-30 00:00:00+00:00,866114.9863312017
2020-01-31 00:00:00+00:00,890079.9495107338
2020-02-01 00:00:00+00:00,885383.2402010169
2020-02-02 00:00:00+00:00,889127.5147120004
2020-02-03 00:00:00+00:00,891032.5545660922
2020-02-04 00:00:00+00:00,897753.8189505883
2020-02-05 00:00:00+00:00,883508.2259683652
2020-02-06 00:00:00+00:00,874824.9931420251
2020-02-07 00:00:00+00:00,876242.6829961248
2020-02-08 00:00:00+00:00,874487.1836765367
2020-02-09 00:00:00+00:00,857450.5611468563
2020-02-10 00:00:00+00:00,882933.6567822956
2020-02-11 00:00:00+00:00,853481.4746557297
2020-02-12 00:00:00+00:00,844314.8041457674
2020-02-13 00:00:00+00:00,855699.1157333724
2020-02-14 00:00:00+00:00,847161.8221620956
2020-02-15 00:00:00+00:00,885783.9867326824
2020-02-16 00:00:00+00:00,886424.6672775463
2020-02-17 00:00:00+00:00,904435.6919930148
2020-02-18 00:00:00+00:00,871706.7265309606
2020-02-19 00:00:00+00:00,913978.1689162846
2020-02-20 00:00:00+00:00,917923.7782745801
2020-02-21 00:00:00+00:00,919877.963561476
2020-02-22 00:00:00+00:00,926903.8600269612
2020-02-23 00:00:00+00:00,900542.5759941563
2020-02-24 00:00:00+00:00,931091.7611114164
2020-02-25 00:00:00+00:00,958876.5298683937
2020-02-26 00:00:00+00:00,966798.4682288833
2020-02-27 00:00:00+00:00,975315.3155994152
2020-02-28 00:00:00+00:00,975875.0354392267
2020-03-01 00:00:00+00:00,960708.8995759317
2020-03-02 00:00:00+00:00,967833.8626687138
2020-03-03 00:00:00+00:00,973947.4598399086
2020-03-04 00:00:00+00:00,978211.9615435047
2020-03-05 00:00:00+00:00,984695.7387587071
2020-03-06 00:00:00+00:00,988622.4037276987
2020-03-07 00:00:00+00:00,993227.2212030462
2020-03-08 00:00:00+00:00,955649.4406472677
