date,equity
2020-04-01 00:00:00+00:00,1001526.6283699918
2020-04-02 00:00:00+00:00,1004636.743295655
2020-04-03 00:00:00+00:00,1000568.5410616676
2020-04-04 00:00:00+00:00,1018125.7765985533
2020-04-05 00:00:00+00:00,1027282.3169587692
2020-04-06 00:00:00+00:00,997718.2551998596
2020-04-07 00:00:00+00:00,1010358.7601711417
2020-04-08 00:00:00+00:00,998469.7785655975
2020-04-09 00:00:00+00:00,1015360.9718797976
2020-04-10 00:00:00+00:00,1054691.1571783186
2020-04-11 00:00:00+00:00,1066865.9987977308
2020-04-12 00:00:00+00:00,1068991.617445398
2020-04-13 00:00:00+00:00,1067688.4196925443
2020-04-14 00:00:00+00:00,1072717.037633522
2020-04-15 00:00:00+00:00,1091435.6425480011
2020-04-16 00:00:00+00:00,1071555.568218386
2020-04-17 00:00:00+00:00,1086822.2720415527
2020-04-18 00:00:00+00:00,1064743.6911776392
2020-04-19 00:00:00+00:00,1083166.4264576747
2020-04-20 00:00:00+00:00,1113130.2656655628
2020-04-21 00:00:00+00:00,1118686.0256493923
2020-04-22 00:00:00+00:00,1091121.5314084238
2020-04-23 00:00:00+00:00,1037563.2890018354
2020-04-24 00:00:00+00:00,1034696.8846304272
2020-05-01 00:00:00+00:00,1036396.6576021535
2020-05-02 00:00:00+00:00,1045690.9914776197
2020-05-03 00:00:00+00:00,1053302.4051555453
2020-05-04 00:00:00+00:00,1045990.2283087317
2020-05-05 00:00:00+00:00,1053831.1473001575
2020-05-06 00:00:00+00:00,1045964.3845035264
2020-05-07 00:00:00+00:00,1015644.3122080765
2020-05-08 00:00:00+00:00,1027375.9604347143
2020-05-09 00:00:00+00:00,1045345.7101808292
2020-05-10 00:00:00+00:00,1027687.2335126647
2020-05-11 00:00:00+00:00,1030608.125277632
2020-05-12 00:00:00+00:00,1070194.5666443196
2020-05-13 00:00:00+00:00,1069658.579081554
2020-05-14 00:00:00+00:00,1049278.3588394215
2020-05-15 00:00:00+00:00,1066091.3872107165
2020-05-16 00:00:00+00:00,1080086.0955516433
2020-05-17 00:00:00+00:00,1077033.7213012022
2020-05-18 00:00:00+00:00,1069479.938672287
2020-05-19 00:00:00+00:00,1075808.7736992277
2020-05-20 00:00:00+00:00,1094374.7498883703
2020-05-21 00:00:00+00:00,1119764.4255279303
2020-05-22 00:00:00+00:00,1130725.7522565294
2020-05-23 00:00:00+00:00,1138247.3579254965
2020-05-24 00:00:00+00:00,1137963.589693843
2020-05-25 00:00:00+00:00,1146733.7482570335
2020-05-26 00:00:00+00:00,1154882.1367895857
2020-05-27 00:00:00+00:00,1162927.0634384574
2020-05-28 00:00:00+00:00,1145176.4304525754
2020-05-29 00:00:00+00:00,1162938.0652852524
2020-12-01 00:00:00+00:00,1164117.1308572365
2020-12-02 00:00:00+00:00,1200226.8492243784
2020-12-03 00:00:00+00:00,1211928.6082593012
2020-12-04 00:00:00+00:00,1212828.8205960665
2020-12-05 00:00:00+00:00,1214589.9532135269
2020-12-06 00:00:00+00:00,1218302.0750391898
2020-12-07 00:00:00+00:00,1221107.456868966
2020-12-08 00:00:00+00:00,1225536.9961974607
2020-12-09 00:00:00+00:00,1232569.4419725607
2020-12-10 00:00:00+00:00,1237788.9263920742
2020-12-11 00:00:00+00:00,1237963.6480525986
2020-12-12 00:00:00+00:00,1249164.5002902916
2020-12-13 00:00:00+00:00,1261701.7470672561
2020-12-14 00:00:00+00:00,1257389.6580185655
2020-12-15 00:00:00+00:00,1256882.488409574
2020-12-16 00:00:00+00:00,1202700.2118792129
2020-12-17 00:00:00+00:00,1136039.8613518388
2020-12-18 00:00:00+00:00,1125402.3819689292
2020-12-19 00:00:00+00:00,1090505.9792422163
2020-12-20 00:00:00+00:00,1109454.4369717764
2020-12-21 00:00:00+00:00,1148440.1053682663
2020-12-22 00:00:00+00:00,1092621.705716554
2020-12-23 00:00:00+00:00,1121627.211309254
2020-12-24 00:00:00+00:00,1098505.2481070785
2020-12-25 00:00:00+00:00,1048888.4306831511
2021-01-01 00:00:00+00:00,1073020.6452836778
2021-01-02 00:00:00+00:00,1074339.664738112
2021-01-03 00:00:00+00:00,1042886.8448529709
2021-01-04 00:00:00+00:00,1042910.7763804062
2021-01-05 00:00:00+00:00,1036505.6895400279
2021-01-06 00:00:00+00:00,986610.0428868504
2021-01-07 00:00:00+00:00,899475.5120818777
2021-01-08 00:00:00+00:00,877178.0389244994
2021-01-09 00:00:00+00:00,893153.9506924921
2021-01-10 00:00:00+00:00,914155.6123548545
2021-01-11 00:00:00+00:00,994842.9930573837
2021-01-12 00:00:00+00:00,1004312.7972839266
2021-01-13 00:00:00+00:00,969842.4720504691
2021-01-14 00:00:00+00:00,909086.0194226026
2021-01-15 00:00:00+00:00,971939.4084166044
2021-01-16 00:00:00+00:00,997188.3582053127
2021-01-17 00:00:00+00:00,1032089.5373891571
2021-01-18 00:00:00+00:00,1040197.8568961731
2021-01-19 00:00:00+00:00,1054517.8234392868
2021-01-20 00:00:00+00:00,1084334.9849356944
2021-01-21 00:00:00+00:00,1135979.7625055835
2021-01-22 00:00:00+00:00,1130494.034829347
2021-01-23 00:00:00+00:00,1159769.558272095
2021-01-24 00:00:00+00:00,1162789.3280334333
2021-01-25 00:00:00+00:00,1186501.4437571347
2021-01-26 00:00:00+00:00,1194073.632626566
2021-01-27 00:00:00+00:00,1194961.0780505678
2021-01-28 00:00:00+00:00,1207519.9112921199
2021-01-29 00:00:00+00:00,1200821.4669332623
2021-02-01 00:00:00+00:00,1176123.479495921
2021-02-02 00:00:00+00:00,1203709.3064365427
2021-02-03 00:00:00+00:00,1211245.107751827
2021-02-04 00:00:00+00:00,1222445.9337596803
2021-02-05 00:00:00+00:00,1221535.0918568296
2021-02-06 00:00:00+00:00,1220065.971352751
2021-02-07 00:00:00+00:00,1221679.7357883523
2021-02-08 00:00:00+00:00,1092760.719927047
2021-02-09 00:00:00+00:00,1080501.6963931434
2021-02-10 00:00:00+00:00,1140464.6272426597
2021-02-11 00:00:00+00:00,1087997.4325295123
2021-02-12 00:00:00+00:00,1115729.9056720529
2021-02-13 00:00:00+00:00,1130059.4210767644
2021-02-14 00:00:00+00:00,1093038.7989091652
2021-02-15 00:00:00+00:00,1117565.1010556465
2021-02-16 00:00:00+00:00,1088210.312654867
2021-02-17 00:00:00+00:00,1011491.0097667316
2021-02-18 00:00:00+00:00,1030389.0460223132
2021-02-19 00:00:00+00:00,904581.6265899925
2021-02-20 00:00:00+00:00,899919.2864941589
2021-02-21 00:00:00+00:00,858209.1498552144
2021-02-22 00:00:00+00:00,959420.0222483185
2021-02-23 00:00:00+00:00,1112270.898793135
2021-02-24 00:00:00+00:00,1092765.3418832857
2021-02-25 00:00:00+00:00,1170623.980047789
2021-02-26 00:00:00+00:00,1193496.9945971193
2021-03-01 00:00:00+00:00,1152305.8475913082
2021-03-02 00:00:00+00:00,1172860.589354614
2021-03-03 00:00:00+00:00,1180121.3733275058
2021-03-04 00:00:00+00:00,1185502.6541176937
2021-03-05 00:00:00+00:00,1181336.452823165
2021-03-06 00:00:00+00:00,1190097.3406759822
2021-03-07 00:00:00+00:00,1193494.1381537588
2021-03-08 00:00:00+00:00,1194379.6766179875
2021-03-09 00:00:00+00:00,1181080.701401874
2021-03-10 00:00:00+00:00,1176901.635338796
2021-03-11 00:00:00+00:00,1154482.0191965478
2021-03-12 00:00:00+00:00,1168486.4641203966
2021-03-13 00:00:00+00:00,1110247.0323551714
2021-03-14 00:00:00+00:00,1151757.24663151
2021-03-15 00:00:00+00:00,1199681.6290335075
2021-03-16 00:00:00+00:00,1192492.2643238455
2021-03-17 00:00:00+00:00,1166078.0434882864
2021-03-18 00:00:00+00:00,1195352.274150383
2021-03-19 00:00:00+00:00,1191699.0398636828
2021-03-20 00:00:00+00:00,1201316.7651530432
2021-03-21 00:00:00+00:00,1218818.3835466118
2021-03-22 00:00:00+00:00,1279792.6456903687
2021-03-23 00:00:00+00:00,1278911.83737102
2021-03-24 00:00:00+00:00,1314809.6448757427
2021-03-25 00:00:00+00:00,1331473.2666145284
2021-03-26 00:00:00+00:00,1272320.076373119
2021-04-01 00:00:00+00:00,1265116.599751896
2021-04-02 00:00:00+00:00,1273776.7250173497
2021-04-03 00:00:00+00:00,1274158.8607375184
2021-04-04 00:00:00+00:00,1278531.4181029066
2021-04-05 00:00:00+00:00,1281634.142214215
2021-04-06 00:00:00+00:00,1287709.0261531686
2021-04-07 00:00:00+00:00,1292082.6702334813
2021-04-08 00:00:00+00:00,1312724.438135276
2021-04-09 00:00:00+00:00,1310646.791593025
2021-04-10 00:00:00+00:00,1301311.9032778528
2021-04-11 00:00:00+00:00,1303250.202944158
2021-04-12 00:00:00+00:00,1306583.670353265
2021-04-13 00:00:00+00:00,1275549.7641426572
2021-04-14 00:00:00+00:00,1288320.3050972123
2021-04-15 00:00:00+00:00,1297682.314436367
2021-04-16 00:00:00+00:00,1323657.5164333577
2021-04-17 00:00:00+00:00,1337914.9242701628
2021-04-18 00:00:00+00:00,1329915.9168154267
2021-04-19 00:00:00+00:00,1343073.8464028223
2021-04-20 00:00:00+00:00,1351121.2556520305
2021-04-21 00:00:00+00:00,1331270.6614781844
2021-04-22 00:00:00+00:00,1298884.8817625279
2021-04-23 00:00:00+00:00,1289725.5249648958
2021-06-01 00:00:00+00:00,1284060.5924672193
2021-06-02 00:00:00+00:00,1299585.7860201988
2021-06-03 00:00:00+00:00,1320143.8420849242
2021-06-04 00:00:00+00:00,1307092.7382361495
2021-06-05 00:00:00+00:00,1297975.7495078132
2021-06-06 00:00:00+00:00,1300493.389483527
2021-06-07 00:00:00+00:00,1283395.0439308267
2021-06-08 00:00:00+00:00,1270418.9678470006
2021-06-09 00:00:00+00:00,1322517.3078489343
2021-06-10 00:00:00+00:00,1332823.2946099625
2021-06-11 00:00:00+00:00,1345982.1955124186
2021-06-12 00:00:00+00:00,1330891.6223924998
2021-06-13 00:00:00+00:00,1357934.3828912054
2021-06-14 00:00:00+00:00,1353875.3493440736
2021-06-15 00:00:00+00:00,1371959.9991445928
2021-06-16 00:00:00+00:00,1377034.0096528195
2021-06-17 00:00:00+00:00,1385694.6002628054
2021-06-18 00:00:00+00:00,1359975.8029448234
