Date,GLD,SPY,TLT,UUP
2020-06-01,163.66000366210938,280.1524658203125,135.1622314453125,22.802566528320312
2020-06-02,162.60000610351562,282.47210693359375,134.67083740234375,22.776704788208008
2020-06-03,159.60000610351562,286.2313232421875,132.8800811767578,22.638769149780273
2020-06-04,161.27999877929688,285.47955322265625,130.9561309814453,22.55255889892578
2020-06-05,158.00999450683594,292.7962341308594,130.02330017089844,22.59566307067871
2020-06-08,159.72000122070312,296.3352966308594,130.52301025390625,22.535316467285156
2020-06-09,161.25999450683594,294.12579345703125,132.00555419921875,22.46634864807129
2020-06-10,163.57000732421875,292.4844665527344,133.96295166015625,22.35427474975586
2020-06-11,162.38999938964844,275.6230773925781,136.49497985839844,22.57842254638672
2020-06-12,162.6199951171875,278.9238586425781,135.17892456054688,22.638769149780273
2020-06-15,162.3300018310547,281.52783203125,135.25389099121094,22.543935775756836
2020-06-16,162.25,286.94659423828125,133.17994689941406,22.612903594970703
2020-06-17,162.55999755859375,285.7545471191406,133.72967529296875,22.63014793395996
2020-06-18,162.24000549316406,285.8647155761719,135.14561462402344,22.716358184814453
2020-06-19,164.02999877929688,284.23095703125,135.25389099121094,22.742219924926758
2020-06-22,165.08999633789062,286.0543212890625,135.2705841064453,22.621524810791016
2020-06-23,166.47999572753906,287.3711853027344,134.3459930419922,22.543935775756836
2020-06-24,165.89999389648438,280.04071044921875,135.78692626953125,22.647390365600586
2020-06-25,165.8000030517578,283.04296875,136.178466796875,22.68187141418457
2020-06-26,166.5399932861328,276.3202819824219,137.6360321044922,22.716358184814453
2020-06-29,166.6300048828125,280.38153076171875,137.20286560058594,22.724979400634766
2020-06-30,167.3699951171875,283.9730529785156,136.53656005859375,22.690494537353516
2020-07-01,166.6199951171875,285.9623107910156,136.2714080810547,22.638769149780273
2020-07-02,166.97999572753906,287.53704833984375,136.4131622314453,22.656009674072266
2020-07-06,167.97999572753906,291.97589111328125,135.85446166992188,22.535316467285156
2020-07-07,169.0399932861328,288.9645080566406,137.76402282714844,22.5870418548584
2020-07-08,170.08999633789062,291.1745910644531,137.213623046875,22.46634864807129
2020-07-09,169.6300048828125,289.5169677734375,139.3983612060547,22.543935775756836
2020-07-10,169.19000244140625,292.4731140136719,138.6979217529297,22.50945472717285
2020-07-13,169.39999389648438,289.9406433105469,139.1565399169922,22.4749698638916
2020-07-14,170.19000244140625,293.6978454589844,139.356689453125,22.43186378479004
2020-07-15,170.33999633789062,296.396240234375,138.70628356933594,22.371517181396484
2020-07-16,168.72999572753906,295.4200744628906,139.3650665283203,22.449106216430664
2020-07-17,170.1199951171875,296.2764892578125,139.07321166992188,22.35427474975586
2020-07-20,170.94000244140625,298.6708679199219,139.41513061523438,22.31978988647461
2020-07-21,173.0,299.30633544921875,139.4984588623047,22.181854248046875
2020-07-22,175.6300048828125,301.0099792480469,139.9154052734375,22.12150764465332
2020-07-23,177.17999267578125,297.41839599609375,141.5497589111328,22.07840347290039
2020-07-24,178.6999969482422,295.50299072265625,141.54148864746094,21.98357391357422
2020-07-27,182.22999572753906,297.6578674316406,141.01612854003906,21.819772720336914
2020-07-28,183.75,295.77001953125,141.9917449951172,21.854257583618164
2020-07-29,185.1300048828125,299.40765380859375,141.74990844726562,21.750802993774414
2020-07-30,183.75999450683594,298.3392639160156,142.68385314941406,21.664594650268555
2020-07-31,185.42999267578125,300.6968688964844,142.59210205078125,21.79391098022461
2020-08-03,185.63999938964844,302.7873840332031,141.87423706054688,21.79391098022461
2020-08-04,189.58999633789062,303.9568786621094,143.22653198242188,21.716320037841797
2020-08-05,191.35000610351562,305.8448181152344,141.9744415283203,21.621488571166992
2020-08-06,193.88999938964844,307.88922119140625,142.7674560546875,21.621488571166992
2020-08-07,190.80999755859375,308.1102600097656,141.81573486328125,21.750802993774414
2020-08-10,190.14999389648438,309.03118896484375,141.18130493164062,21.785287857055664
2020-08-11,179.94000244140625,306.4801940917969,139.50338745117188,21.819772720336914
2020-08-12,179.10000610351562,310.7532653808594,138.23443603515625,21.750802993774414
2020-08-13,183.3300018310547,310.19146728515625,136.75686645507812,21.742183685302734
2020-08-14,182.5399932861328,310.20074462890625,136.22256469726562,21.707698822021484
2020-08-17,186.5,311.18603515625,136.56488037109375,21.612869262695312
